url,title,authors,publisher,pubdate,price,rating,votes,want_to_read,reading,read
https://book.douban.com/subject/1041482/,万历十五年,[美] 黄仁宇,生活·读书·新知三联书店,1997-5,18.00元,9.0,217857,220467,29393,304730
https://book.douban.com/subject/1043008/,格林童话全集,[德]格林兄弟,人民文学出版社,1994-11,21.45元,9.1,101918,25565,1251,225108
https://book.douban.com/subject/1044547/,射雕英雄传,金庸,生活·读书·新知三联书店,1999-04,47.00元,9.1,92420,29502,1558,167790
https://book.douban.com/subject/10594787/,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2012-9-1,39.50元,9.0,310873,349693,35412,417646
https://book.douban.com/subject/1083428/,傲慢与偏见,[英] 奥斯丁,人民文学出版社,1993-7,13.00元,8.9,243765,120137,7324,385483
https://book.douban.com/subject/1089243/,黄金时代,王小波,花城出版社,1999-3,19.00元,8.9,173884,131122,12381,275976
https://book.douban.com/subject/1139360/,毛泽东选集,毛泽东,人民出版社,1991-6,40.00元,9.6,38671,78627,13892,64642
https://book.douban.com/subject/1449352/,朝花夕拾,鲁迅,人民文学出版社,1973-4,0.25元,9.1,173189,54690,3129,321237
https://book.douban.com/subject/1770782/,追风筝的人,[美] 卡勒德·胡赛尼,上海人民出版社,2006-5,29.00元,8.9,826335,432832,59671,1261639
https://book.douban.com/subject/1858513/,月亮和六便士,[英] 毛姆,上海译文出版社,2006-8,15.00元,9.0,224789,221385,16636,328856
https://book.douban.com/subject/2035162/,刀锋,[英] 毛姆,上海译文出版社,2007-3,18.00元,9.0,101844,179218,7887,155541
https://book.douban.com/subject/2035171/,人生的枷锁,[英] 毛姆,上海译文出版社,2007-3,32.00元,9.1,33907,116441,6205,52220
https://book.douban.com/subject/2035179/,动物农场,[英] 乔治·奥威尔,上海译文出版社,2007-3,10.00元,9.3,181005,185998,5665,295594
https://book.douban.com/subject/20421947/,在细雨中呼喊,余华,作家出版社,2012-11-1,25.00元,8.8,92366,56263,4346,116265
https://book.douban.com/subject/20424526/,邓小平时代,【美】傅高义 (Ezra.F.Vogel),生活·读书·新知三联书店,2013-1-18,88.00元,9.4,87064,151427,13690,106259
https://book.douban.com/subject/20428302/,失明症漫记,[葡] 若泽·萨拉马戈,南海出版公司,2014-2,29.50元,9.0,44679,100090,3534,57023
https://book.douban.com/subject/20440644/,文学回忆录,木心 讲述 陈丹青 笔录,广西师范大学出版社,2013-1-10,98.00元,9.1,46597,118786,15774,64030
https://book.douban.com/subject/2046909/,故事新编,鲁迅,人民文学出版社,1973-12-01,0.31 元,9.4,51787,55623,1504,125943
https://book.douban.com/subject/3261600/,人生的智慧,(德)叔本华,上海人民出版社,2008-10-01,28.00元,9.2,36011,121263,7072,51431
https://book.douban.com/subject/1054685/,沉默的大多数,王小波,中国青年出版社,1997-10,27.00元,9.1,161153,257126,21197,228302
https://book.douban.com/subject/10554308/,白夜行,[日] 东野圭吾,南海出版公司,2013-1-1,39.50元,9.2,531178,150621,13415,689646
https://book.douban.com/subject/10555509/,看不见的城市,[意] 伊塔洛·卡尔维诺,译林出版社,2012-4,25.00元,9.0,42939,79142,4944,53159
https://book.douban.com/subject/10564071/,白鹿原,陈忠实,人民文学出版社,2012-9,39.00元,9.2,126947,101167,7794,197742
https://book.douban.com/subject/1057244/,边城,沈从文 黄永玉 卓雅 插图.,北岳文艺出版社,2002-4,12.00元,8.7,243042,112617,7545,427238
https://book.douban.com/subject/10583099/,全球通史,斯塔夫里阿诺斯,北京大学出版社,2012-2-1,168.00元,9.0,25770,69650,6834,36888
https://book.douban.com/subject/1058661/,飞鸟集,[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,2004-6,16.80元,8.9,70583,60330,4754,139243
https://book.douban.com/subject/1059258/,道德经,黄元吉,陕西人民出版社,1996-10,4.50元,9.5,23012,41518,4652,46058
https://book.douban.com/subject/1060068/,撒哈拉的故事,三毛,哈尔滨出版社,2003-8,15.80元,9.2,198597,102218,5238,281937
https://book.douban.com/subject/1060852/,呼兰河传,萧红,百花文艺出版社,2005-01,19.00,9.0,90740,85784,4919,161103
https://book.douban.com/subject/1068920/,飘,[美国] 玛格丽特·米切尔,译林出版社,2000-9,40.00元,9.3,228838,253358,11789,495617
https://book.douban.com/subject/10757938/,半生缘,张爱玲,北京十月文艺出版社,2012-6-1,29.60元,9.1,39323,32828,1625,50364
https://book.douban.com/subject/10757940/,倾城之恋,张爱玲,北京十月文艺出版社,2012-6-1,29.80元,8.9,45565,26310,3279,108562
https://book.douban.com/subject/10758290/,东晋门阀政治,田余庆,北京大学出版社,2012-5,49.00元,9.5,17801,97542,4515,20821
https://book.douban.com/subject/1077847/,史记（全十册）,（汉）司马迁 （南朝宋）裴骃 集解 （唐）司马贞 索隐 （唐）张守节 正义,中华书局,1982-11,125.00,9.6,27465,69945,8238,49603
https://book.douban.com/subject/1084336/,小王子,[法国] 安东尼·德·圣-埃克苏佩里,人民文学出版社,2003-8,22.00元,9.1,798082,218158,21097,1208920
https://book.douban.com/subject/1085860/,基督山伯爵,[法国] 大仲马,上海译文出版社,1991-12-1,43.90元,9.1,137885,115562,8963,220939
https://book.douban.com/subject/1088022/,亮剑,都梁,解放军文艺出版社,2005-3,28.00元,9.0,34280,18666,801,52662
https://book.douban.com/subject/1091203/,少年凯歌,,人民文学出版社,2001-6,10.00元,9.3,22948,51988,1281,30975
https://book.douban.com/subject/1092335/,教父,[美]马里奥·普佐,译林出版社,1997-8,23.30元,9.0,42484,53014,2200,81084
https://book.douban.com/subject/1119839/,王尔德童话,[英] 王尔德,译林出版社,2003-6,6.00元,9.1,25958,59322,2217,44876
https://book.douban.com/subject/1192090/,球状闪电,刘慈欣,四川科学技术出版社,2005-6,22.00元,8.7,96445,46486,2554,133752
https://book.douban.com/subject/1200840/,平凡的世界（全三部）,路遥,人民文学出版社,2005-1,64.00元,9.0,341289,223368,20878,513710
https://book.douban.com/subject/1203426/,人间词话,王国维,上海古籍出版社,1998-12,9.80元,9.1,58979,87729,8120,125697
https://book.douban.com/subject/1205054/,悲惨世界（上中下）,[法] 雨果,人民文学出版社,1992-6,66.00元,9.1,67338,88857,3965,143089
https://book.douban.com/subject/1209899/,我与地坛,史铁生,春风文艺出版社,2002-5,25.00元,9.2,131086,126498,9514,240166
https://book.douban.com/subject/1212893/,鹿鼎记,金庸,广州出版社 花城出版社,2008-3,108.00元,8.9,58439,22067,1235,105564
https://book.douban.com/subject/1253310/,人间草木,汪曾祺,江苏文艺出版社,2005-01,20.00元,9.2,38314,79446,4966,57247
https://book.douban.com/subject/1254588/,城南旧事,林海音 文 关维兴 图,中国青年出版社,2003-7,16.00元,9.1,171135,90188,3358,349903
https://book.douban.com/subject/1255624/,神雕侠侣,金庸,生活·读书·新知三联书店,1994-5,76.80元,8.9,106726,29749,1721,168798
https://book.douban.com/subject/1255625/,天龙八部,金庸,生活·读书·新知三联书店,1994-5,96.00元,9.2,140888,73006,4084,263569
https://book.douban.com/subject/1449348/,彷徨,鲁迅,人民文学出版社,1973-3,0.37元,9.3,75089,47206,1816,152957
https://book.douban.com/subject/1449351/,呐喊,鲁迅,人民文学出版社,1973-3,0.36元,9.2,177667,112478,5208,380058
https://book.douban.com/subject/1467022/,上帝掷骰子吗,曹天元,辽宁教育出版社,2006-1,32.00元,9.2,37147,97636,5339,50905
https://book.douban.com/subject/1760432/,受戒,汪曾祺,漓江出版社,1987-10,3.95元,9.4,30914,75920,1871,64890
https://book.douban.com/subject/1765512/,海的女儿,安徒生,上海译文出版社,1978年6月,0.43,9.2,28622,8646,377,64132
https://book.douban.com/subject/1795079/,乡土中国,费孝通,上海人民出版社,2006-4,38.00,9.2,108280,156708,12079,157264
https://book.douban.com/subject/1818347/,尼罗河上的惨案,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,22.00元,8.7,55221,72539,1130,141206
https://book.douban.com/subject/1827374/,东方快车谋杀案,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,18.00元,9.1,153882,141343,3420,267466
https://book.douban.com/subject/1829226/,肖申克的救赎,[美] 斯蒂芬·金,人民文学出版社,2006-7,29.90元,9.1,130222,123395,5188,216869
https://book.douban.com/subject/1858568/,罪与罚,[俄] 陀思妥耶夫斯基,上海译文出版社,2006-8,23.00元,9.3,41267,121521,6199,87043
https://book.douban.com/subject/2070844/,梦里花落知多少,三毛,北京十月文艺出版社,2007-6,28.00元,8.8,102251,58661,3360,181572
https://book.douban.com/subject/21371175/,罗杰疑案,[英] 阿加莎·克里斯蒂,新星出版社,2013-3,28.00元,9.2,100331,61104,1796,123518
https://book.douban.com/subject/2143732/,灿烂千阳,[美] 卡勒德·胡赛尼,上海人民出版社,2007-9,28.00元,8.9,134029,112049,7101,207278
https://book.douban.com/subject/2154960/,一个陌生女人的来信,[奥] 斯蒂芬·茨威格,上海译文出版社,2007-7,20.00元,8.7,156102,128405,5388,245705
https://book.douban.com/subject/1004821/,理想国,[古希腊] 柏拉图,商务印书馆,1986-8,28.00元,8.8,41605,135602,12412,89324
https://book.douban.com/subject/1008357/,水浒传（全二册）,[明] 施耐庵 罗贯中,人民文学出版社,1997-1,50.60元,8.7,86023,20979,3202,168857
https://book.douban.com/subject/1035848/,一千零一夜,,人民文学出版社,2003-01,22.00,8.8,63956,24380,1017,190660
