id,book_url,source,sample_size,star_5_count,star_4_count,star_3_count,star_2_count,star_1_count,star_5_pct,star_4_pct,star_3_pct,star_2_pct,star_1_pct,want_to_read,reading,read,crawled_at
33,https://book.douban.com/subject/1027191/,official,,,,,,,57.8,35.0,6.4,0.6,0.3,139017,6279,84018,
34,https://book.douban.com/subject/1027191/,derived,20.0,11.0,6.0,3.0,0.0,0.0,55.0,30.0,15.0,0.0,0.0,139017,6279,84018,
35,https://book.douban.com/subject/1028409/,official,,,,,,,76.5,18.5,4.4,0.4,0.3,11146,395,31385,
36,https://book.douban.com/subject/1028409/,derived,20.0,18.0,2.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,11146,395,31385,
37,https://book.douban.com/subject/1028842/,official,,,,,,,67.9,26.0,5.4,0.4,0.3,78388,7668,40023,
38,https://book.douban.com/subject/1028842/,derived,20.0,16.0,3.0,1.0,0.0,0.0,80.0,15.0,5.0,0.0,0.0,78388,7668,40023,
39,https://book.douban.com/subject/1029111/,official,,,,,,,59.6,33.9,6.3,0.2,0.1,64451,1498,131468,
40,https://book.douban.com/subject/1029111/,derived,18.0,5.0,12.0,1.0,0.0,0.0,27.7778,66.6667,5.5556,0.0,0.0,64451,1498,131468,
41,https://book.douban.com/subject/1029553/,official,,,,,,,70.4,24.1,5.0,0.3,0.1,29355,4233,250530,
42,https://book.douban.com/subject/1029553/,derived,20.0,18.0,2.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,29355,4233,250530,
43,https://book.douban.com/subject/1034282/,official,,,,,,,57.6,33.9,7.7,0.6,0.3,115359,11510,110675,
44,https://book.douban.com/subject/1034282/,derived,20.0,11.0,5.0,1.0,2.0,1.0,55.0,25.0,5.0,10.0,5.0,115359,11510,110675,
45,https://book.douban.com/subject/1035848/,official,,,,,,,53.6,37.1,8.7,0.5,0.2,24380,1017,190660,
46,https://book.douban.com/subject/1035848/,derived,18.0,6.0,9.0,3.0,0.0,0.0,33.3333,50.0,16.6667,0.0,0.0,24380,1017,190660,
47,https://book.douban.com/subject/1036490/,official,,,,,,,55.7,36.2,7.5,0.5,0.1,32124,1407,92922,
48,https://book.douban.com/subject/1036490/,derived,18.0,8.0,8.0,1.0,1.0,0.0,44.4444,44.4444,5.5556,5.5556,0.0,32124,1407,92922,
49,https://book.douban.com/subject/1036613/,official,,,,,,,69.9,26.1,3.8,0.2,0.1,36941,905,85358,
50,https://book.douban.com/subject/1036613/,derived,19.0,11.0,8.0,0.0,0.0,0.0,57.8947,42.1053,0.0,0.0,0.0,36941,905,85358,
51,https://book.douban.com/subject/1040211/,official,,,,,,,73.9,22.3,3.6,0.2,0.1,81208,7821,221423,
52,https://book.douban.com/subject/1040211/,derived,20.0,15.0,2.0,0.0,1.0,2.0,75.0,10.0,0.0,5.0,10.0,81208,7821,221423,
54,https://book.douban.com/subject/1041482/,derived,20.0,14.0,2.0,1.0,0.0,3.0,70.0,10.0,5.0,0.0,15.0,220467,29393,304730,
55,https://book.douban.com/subject/1043008/,official,,,,,,,63.7,29.7,6.2,0.3,0.1,25565,1251,225108,
56,https://book.douban.com/subject/1043008/,derived,18.0,10.0,5.0,2.0,0.0,1.0,55.5556,27.7778,11.1111,0.0,5.5556,25565,1251,225108,
57,https://book.douban.com/subject/1043815/,official,,,,,,,48.2,43.7,7.7,0.3,0.1,48750,2754,486926,
58,https://book.douban.com/subject/1043815/,derived,17.0,12.0,5.0,0.0,0.0,0.0,70.5882,29.4118,0.0,0.0,0.0,48750,2754,486926,
59,https://book.douban.com/subject/1044547/,official,,,,,,,65.7,28.9,5.1,0.2,0.2,29502,1558,167790,
60,https://book.douban.com/subject/1044547/,derived,20.0,12.0,7.0,1.0,0.0,0.0,60.0,35.0,5.0,0.0,0.0,29502,1558,167790,
61,https://book.douban.com/subject/1046209/,official,,,,,,,69.0,26.1,4.6,0.2,0.1,36278,2054,271918,
62,https://book.douban.com/subject/1046209/,derived,19.0,14.0,5.0,0.0,0.0,0.0,73.6842,26.3158,0.0,0.0,0.0,36278,2054,271918,
63,https://book.douban.com/subject/1046492/,official,,,,,,,73.6,21.4,4.0,0.6,0.5,82657,7768,26377,
64,https://book.douban.com/subject/1046492/,derived,18.0,14.0,1.0,2.0,1.0,0.0,77.7778,5.5556,11.1111,5.5556,0.0,82657,7768,26377,
65,https://book.douban.com/subject/1051193/,official,,,,,,,51.7,40.1,7.9,0.3,0.0,72874,1425,197375,
66,https://book.douban.com/subject/1051193/,derived,20.0,9.0,9.0,2.0,0.0,0.0,45.0,45.0,10.0,0.0,0.0,72874,1425,197375,
67,https://book.douban.com/subject/10522856/,official,,,,,,,61.2,32.9,5.5,0.4,0.1,78442,3930,61620,
68,https://book.douban.com/subject/10522856/,derived,20.0,17.0,2.0,1.0,0.0,0.0,85.0,10.0,5.0,0.0,0.0,78442,3930,61620,
70,https://book.douban.com/subject/1052990/,derived,20.0,12.0,5.0,1.0,2.0,0.0,60.0,25.0,5.0,10.0,0.0,31678,961,108372,
71,https://book.douban.com/subject/1054685/,official,,,,,,,62.2,31.2,5.9,0.4,0.2,257126,21197,228302,
72,https://book.douban.com/subject/1054685/,derived,20.0,15.0,3.0,2.0,0.0,0.0,75.0,15.0,10.0,0.0,0.0,257126,21197,228302,
73,https://book.douban.com/subject/10554308/,official,,,,,,,68.0,26.6,4.7,0.5,0.2,150621,13415,689646,
74,https://book.douban.com/subject/10554308/,derived,20.0,12.0,5.0,1.0,1.0,1.0,60.0,25.0,5.0,5.0,5.0,150621,13415,689646,
75,https://book.douban.com/subject/10555486/,official,,,,,,,50.2,42.2,7.1,0.4,0.1,26085,854,43362,
76,https://book.douban.com/subject/10555486/,derived,20.0,14.0,5.0,1.0,0.0,0.0,70.0,25.0,5.0,0.0,0.0,26085,854,43362,
77,https://book.douban.com/subject/10555509/,official,,,,,,,60.9,28.9,8.6,1.1,0.5,79142,4944,53159,
78,https://book.douban.com/subject/10555509/,derived,20.0,15.0,4.0,1.0,0.0,0.0,75.0,20.0,5.0,0.0,0.0,79142,4944,53159,
79,https://book.douban.com/subject/10564071/,official,,,,,,,69.3,26.2,3.9,0.4,0.2,101167,7794,197742,
80,https://book.douban.com/subject/10564071/,derived,20.0,15.0,4.0,1.0,0.0,0.0,75.0,20.0,5.0,0.0,0.0,101167,7794,197742,
81,https://book.douban.com/subject/1057244/,official,,,,,,,49.8,40.7,8.9,0.5,0.1,112617,7545,427238,
82,https://book.douban.com/subject/1057244/,derived,20.0,11.0,9.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,112617,7545,427238,
83,https://book.douban.com/subject/10583099/,official,,,,,,,63.2,28.6,6.6,1.0,0.6,69650,6834,36888,
84,https://book.douban.com/subject/10583099/,derived,20.0,11.0,6.0,0.0,2.0,1.0,55.0,30.0,0.0,10.0,5.0,69650,6834,36888,
85,https://book.douban.com/subject/1058661/,official,,,,,,,56.9,34.5,8.0,0.4,0.1,60330,4754,139243,
86,https://book.douban.com/subject/1058661/,derived,20.0,5.0,6.0,0.0,1.0,8.0,25.0,30.0,0.0,5.0,40.0,60330,4754,139243,
87,https://book.douban.com/subject/1059258/,official,,,,,,,81.6,14.8,3.1,0.2,0.3,41518,4652,46058,
88,https://book.douban.com/subject/1059258/,derived,20.0,16.0,4.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,41518,4652,46058,
89,https://book.douban.com/subject/10594787/,official,,,,,,,57.9,32.4,8.4,0.9,0.4,349693,35412,417646,
90,https://book.douban.com/subject/10594787/,derived,20.0,12.0,5.0,2.0,1.0,0.0,60.0,25.0,10.0,5.0,0.0,349693,35412,417646,
91,https://book.douban.com/subject/1060068/,official,,,,,,,67.6,27.6,4.4,0.3,0.1,102218,5238,281937,
92,https://book.douban.com/subject/1060068/,derived,20.0,13.0,6.0,0.0,0.0,1.0,65.0,30.0,0.0,0.0,5.0,102218,5238,281937,
93,https://book.douban.com/subject/1060852/,official,,,,,,,57.5,35.1,6.9,0.4,0.1,85784,4919,161103,
94,https://book.douban.com/subject/1060852/,derived,20.0,17.0,3.0,0.0,0.0,0.0,85.0,15.0,0.0,0.0,0.0,85784,4919,161103,
95,https://book.douban.com/subject/1068920/,official,,,,,,,71.2,24.3,3.9,0.3,0.2,253358,11789,495617,
96,https://book.douban.com/subject/1068920/,derived,19.0,14.0,5.0,0.0,0.0,0.0,73.6842,26.3158,0.0,0.0,0.0,253358,11789,495617,
97,https://book.douban.com/subject/1070851/,official,,,,,,,53.6,36.9,8.8,0.5,0.2,20097,926,128659,
98,https://book.douban.com/subject/1070851/,derived,20.0,14.0,6.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,20097,926,128659,
99,https://book.douban.com/subject/10757938/,official,,,,,,,61.6,32.6,5.3,0.3,0.1,32828,1625,50364,
100,https://book.douban.com/subject/10757938/,derived,19.0,16.0,3.0,0.0,0.0,0.0,84.2105,15.7895,0.0,0.0,0.0,32828,1625,50364,
101,https://book.douban.com/subject/10757940/,official,,,,,,,54.0,38.3,7.1,0.5,0.1,26310,3279,108562,
102,https://book.douban.com/subject/10757940/,derived,19.0,11.0,8.0,0.0,0.0,0.0,57.8947,42.1053,0.0,0.0,0.0,26310,3279,108562,
103,https://book.douban.com/subject/10758290/,official,,,,,,,79.2,17.0,3.2,0.4,0.3,97542,4515,20821,
104,https://book.douban.com/subject/10758290/,derived,18.0,16.0,2.0,0.0,0.0,0.0,88.8889,11.1111,0.0,0.0,0.0,97542,4515,20821,
105,https://book.douban.com/subject/1077847/,official,,,,,,,82.0,15.0,2.6,0.2,0.2,69945,8238,49603,
106,https://book.douban.com/subject/1077847/,derived,18.0,16.0,2.0,0.0,0.0,0.0,88.8889,11.1111,0.0,0.0,0.0,69945,8238,49603,
107,https://book.douban.com/subject/1080370/,official,,,,,,,49.9,38.2,11.1,0.7,0.2,83044,2256,176894,
108,https://book.douban.com/subject/1080370/,derived,20.0,10.0,9.0,1.0,0.0,0.0,50.0,45.0,5.0,0.0,0.0,83044,2256,176894,
109,https://book.douban.com/subject/1083428/,official,,,,,,,55.3,35.8,8.1,0.6,0.2,120137,7324,385483,
110,https://book.douban.com/subject/1083428/,derived,20.0,15.0,3.0,2.0,0.0,0.0,75.0,15.0,10.0,0.0,0.0,120137,7324,385483,
111,https://book.douban.com/subject/1084336/,official,,,,,,,65.8,27.4,6.2,0.5,0.2,218158,21097,1208920,
112,https://book.douban.com/subject/1084336/,derived,20.0,15.0,2.0,1.0,0.0,2.0,75.0,10.0,5.0,0.0,10.0,218158,21097,1208920,
113,https://book.douban.com/subject/1085860/,official,,,,,,,63.9,29.5,6.2,0.3,0.1,115562,8963,220939,
114,https://book.douban.com/subject/1085860/,derived,20.0,16.0,4.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,115562,8963,220939,
115,https://book.douban.com/subject/1088022/,official,,,,,,,66.3,26.6,6.0,0.6,0.5,18666,801,52662,
116,https://book.douban.com/subject/1088022/,derived,20.0,12.0,7.0,1.0,0.0,0.0,60.0,35.0,5.0,0.0,0.0,18666,801,52662,
117,https://book.douban.com/subject/1088581/,official,,,,,,,47.0,40.1,11.4,1.1,0.4,87373,10414,135322,
118,https://book.douban.com/subject/1088581/,derived,20.0,11.0,7.0,2.0,0.0,0.0,55.0,35.0,10.0,0.0,0.0,87373,10414,135322,
119,https://book.douban.com/subject/1089243/,official,,,,,,,56.9,34.0,8.1,0.7,0.3,131122,12381,275976,
477,https://book.douban.com/subject/5337254/,official,,,,,,,66.9,27.8,4.8,0.4,0.2,92797,3973,77151,
120,https://book.douban.com/subject/1089243/,derived,19.0,17.0,2.0,0.0,0.0,0.0,89.4737,10.5263,0.0,0.0,0.0,131122,12381,275976,
121,https://book.douban.com/subject/1091203/,official,,,,,,,71.6,24.1,3.3,0.4,0.5,51988,1281,30975,
122,https://book.douban.com/subject/1091203/,derived,19.0,13.0,5.0,1.0,0.0,0.0,68.4211,26.3158,5.2632,0.0,0.0,51988,1281,30975,
123,https://book.douban.com/subject/1092335/,official,,,,,,,64.2,28.9,6.3,0.4,0.2,53014,2200,81084,
124,https://book.douban.com/subject/1092335/,derived,20.0,15.0,3.0,2.0,0.0,0.0,75.0,15.0,10.0,0.0,0.0,53014,2200,81084,
125,https://book.douban.com/subject/1119839/,official,,,,,,,63.6,29.6,6.2,0.5,0.1,59322,2217,44876,
126,https://book.douban.com/subject/1119839/,derived,20.0,13.0,5.0,1.0,1.0,0.0,65.0,25.0,5.0,5.0,0.0,59322,2217,44876,
127,https://book.douban.com/subject/1139360/,official,,,,,,,88.2,8.7,1.5,0.3,1.2,78627,13892,64642,
128,https://book.douban.com/subject/1139360/,derived,18.0,16.0,2.0,0.0,0.0,0.0,88.8889,11.1111,0.0,0.0,0.0,78627,13892,64642,
129,https://book.douban.com/subject/1192090/,official,,,,,,,52.4,38.4,8.4,0.6,0.2,46486,2554,133752,
130,https://book.douban.com/subject/1192090/,derived,19.0,11.0,6.0,2.0,0.0,0.0,57.8947,31.5789,10.5263,0.0,0.0,46486,2554,133752,
131,https://book.douban.com/subject/1200840/,official,,,,,,,68.1,25.3,5.5,0.8,0.4,223368,20878,513710,
132,https://book.douban.com/subject/1200840/,derived,20.0,13.0,3.0,2.0,1.0,1.0,65.0,15.0,10.0,5.0,5.0,223368,20878,513710,
133,https://book.douban.com/subject/1203426/,official,,,,,,,61.7,31.9,5.8,0.4,0.1,87729,8120,125697,
134,https://book.douban.com/subject/1203426/,derived,20.0,6.0,12.0,1.0,0.0,1.0,30.0,60.0,5.0,0.0,5.0,87729,8120,125697,
135,https://book.douban.com/subject/1205054/,official,,,,,,,66.9,27.5,5.3,0.2,0.1,88857,3965,143089,
136,https://book.douban.com/subject/1205054/,derived,19.0,13.0,3.0,2.0,0.0,1.0,68.4211,15.7895,10.5263,0.0,5.2632,88857,3965,143089,
137,https://book.douban.com/subject/1209899/,official,,,,,,,70.7,24.8,4.1,0.3,0.1,126498,9514,240166,
138,https://book.douban.com/subject/1209899/,derived,20.0,16.0,4.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,126498,9514,240166,
139,https://book.douban.com/subject/1212893/,official,,,,,,,58.6,31.5,9.0,0.6,0.3,22067,1235,105564,
140,https://book.douban.com/subject/1212893/,derived,20.0,14.0,6.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,22067,1235,105564,
141,https://book.douban.com/subject/1253310/,official,,,,,,,67.2,28.1,4.4,0.2,0.1,79446,4966,57247,
