id,reviewer_url,display_name,following_count,followers_count,crawled_at
132,https://www.douban.com/people/daisychen1942/,,0,0,
133,https://www.douban.com/people/fangxo72/,,0,0,
134,https://www.douban.com/people/JoGreen/,,0,0,
135,https://www.douban.com/people/isaasi/,,0,0,
136,https://www.douban.com/people/jintaiwangdao/,,0,0,
137,https://www.douban.com/people/mado1983/,,0,0,
138,https://www.douban.com/people/pinkonion/,,0,0,
139,https://www.douban.com/people/nwwfewx/,,0,0,
140,https://www.douban.com/people/zionius/,,0,0,
141,https://www.douban.com/people/131541374/,,0,0,
142,https://www.douban.com/people/1441177/,,0,0,
143,https://www.douban.com/people/157739673/,,0,0,
144,https://www.douban.com/people/161326702/,,0,0,
145,https://www.douban.com/people/166144145/,,0,0,
146,https://www.douban.com/people/170037846/,,0,0,
147,https://www.douban.com/people/1910834/,,0,0,
148,https://www.douban.com/people/197735945/,,0,0,
149,https://www.douban.com/people/207806969/,,0,0,
150,https://www.douban.com/people/4646789/,,0,0,
151,https://www.douban.com/people/51201032/,,0,0,
152,https://www.douban.com/people/57997401/,,0,0,
153,https://www.douban.com/people/DgzloveAngie/,,0,0,
154,https://www.douban.com/people/62675594/,,0,0,
155,https://www.douban.com/people/CONGJIAWANER/,,0,0,
156,https://www.douban.com/people/Mashuqiu/,,0,0,
157,https://www.douban.com/people/bookbug/,,0,0,
158,https://www.douban.com/people/batongyang/,,0,0,
159,https://www.douban.com/people/jiangxulin/,,0,0,
160,https://www.douban.com/people/cristallachesis/,,0,0,
161,https://www.douban.com/people/fengxifengxi/,,0,0,
162,https://www.douban.com/people/leisurewilliam/,,0,0,
163,https://www.douban.com/people/lintanxi/,,0,0,
164,https://www.douban.com/people/lovedzc/,,0,0,
165,https://www.douban.com/people/mysteryland/,,0,0,
166,https://www.douban.com/people/luoying6/,,0,0,
167,https://www.douban.com/people/shouzhu/,,0,0,
168,https://www.douban.com/people/qdmimi19810920/,,0,0,
169,https://www.douban.com/people/weizhoushiwang/,,0,0,
170,https://www.douban.com/people/wisely1229/,,0,0,
171,https://www.douban.com/people/ycll0009/,,0,0,
172,https://www.douban.com/people/ysyang/,,0,0,
173,https://www.douban.com/people/zhangxy1326/,,0,0,
174,https://www.douban.com/people/143291523/,,0,0,
175,https://www.douban.com/people/135718342/,,0,0,
176,https://www.douban.com/people/146406357/,,0,0,
177,https://www.douban.com/people/149447792/,,0,0,
178,https://www.douban.com/people/150173096/,,0,0,
179,https://www.douban.com/people/152853577/,,0,0,
180,https://www.douban.com/people/156831903/,,0,0,
181,https://www.douban.com/people/173811279/,,0,0,
